time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_BADALT,INTR_BADALT,-3214.7,-18231.5,1851.2,1459.5,85.68,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16851.2,16459.5,-25.00,-25.00
0.00,INTR_BADALT,OWN_BADALT,3214.7,18231.5,-1851.2,-1459.5,85.68,0.0,CLEAR,0,16851.2,16459.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.03,OWN_BADALT,INTR_BADALT,-3213.5,-18224.5,1850.3,1458.6,85.65,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16850.3,16458.6,-25.00,-25.00
0.03,INTR_BADALT,OWN_BADALT,3213.5,18224.5,-1850.3,-1458.6,85.65,0.0,CLEAR,0,16850.3,16458.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.07,OWN_BADALT,INTR_BADALT,-3212.2,-18217.4,1849.5,1457.8,85.61,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16849.5,16457.8,-25.00,-25.00
0.07,INTR_BADALT,OWN_BADALT,3212.2,18217.4,-1849.5,-1457.8,85.61,0.0,CLEAR,0,16849.5,16457.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.10,OWN_BADALT,INTR_BADALT,-3211.0,-18210.3,1848.7,1457.0,85.58,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16848.7,16457.0,-25.00,-25.00
0.10,INTR_BADALT,OWN_BADALT,3211.0,18210.3,-1848.7,-1457.0,85.58,0.0,CLEAR,0,16848.7,16457.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.13,OWN_BADALT,INTR_BADALT,-3209.7,-18203.2,1847.8,1456.1,85.55,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16847.8,16456.1,-25.00,-25.00
0.13,INTR_BADALT,OWN_BADALT,3209.7,18203.2,-1847.8,-1456.1,85.55,0.0,CLEAR,0,16847.8,16456.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.17,OWN_BADALT,INTR_BADALT,-3208.5,-18196.1,1847.0,1455.3,85.51,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16847.0,16455.3,-25.00,-25.00
0.17,INTR_BADALT,OWN_BADALT,3208.5,18196.1,-1847.0,-1455.3,85.51,0.0,CLEAR,0,16847.0,16455.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.20,OWN_BADALT,INTR_BADALT,-3207.2,-18189.0,1846.2,1454.5,85.48,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16846.2,16454.5,-25.00,-25.00
0.20,INTR_BADALT,OWN_BADALT,3207.2,18189.0,-1846.2,-1454.5,85.48,0.0,CLEAR,0,16846.2,16454.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.23,OWN_BADALT,INTR_BADALT,-3206.0,-18181.9,1845.3,1453.6,85.45,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16845.3,16453.6,-25.00,-25.00
0.23,INTR_BADALT,OWN_BADALT,3206.0,18181.9,-1845.3,-1453.6,85.45,0.0,CLEAR,0,16845.3,16453.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.27,OWN_BADALT,INTR_BADALT,-3204.7,-18174.8,1844.5,1452.8,85.41,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16844.5,16452.8,-25.00,-25.00
0.27,INTR_BADALT,OWN_BADALT,3204.7,18174.8,-1844.5,-1452.8,85.41,0.0,CLEAR,0,16844.5,16452.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.30,OWN_BADALT,INTR_BADALT,-3203.5,-18167.7,1843.7,1452.0,85.38,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16843.7,16452.0,-25.00,-25.00
0.30,INTR_BADALT,OWN_BADALT,3203.5,18167.7,-1843.7,-1452.0,85.38,0.0,CLEAR,0,16843.7,16452.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.33,OWN_BADALT,INTR_BADALT,-3202.2,-18160.6,1842.8,1451.1,85.35,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16842.8,16451.1,-25.00,-25.00
0.33,INTR_BADALT,OWN_BADALT,3202.2,18160.6,-1842.8,-1451.1,85.35,0.0,CLEAR,0,16842.8,16451.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
