time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_BADALT,INTR_BADALT,-3214.7,-18231.5,1839.7,1148.2,85.68,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16839.7,16148.2,-25.00,-25.00
0.00,INTR_BADALT,OWN_BADALT,3214.7,18231.5,-1839.7,-1148.2,85.68,0.0,CLEAR,0,16839.7,16148.2,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.03,OWN_BADALT,INTR_BADALT,-3213.5,-18224.5,1838.9,1147.4,85.65,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16838.9,16147.4,-25.00,-25.00
0.03,INTR_BADALT,OWN_BADALT,3213.5,18224.5,-1838.9,-1147.4,85.65,0.0,CLEAR,0,16838.9,16147.4,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.07,OWN_BADALT,INTR_BADALT,-3212.2,-18217.4,1838.1,1146.6,85.61,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16838.1,16146.6,-25.00,-25.00
0.07,INTR_BADALT,OWN_BADALT,3212.2,18217.4,-1838.1,-1146.6,85.61,0.0,CLEAR,0,16838.1,16146.6,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.10,OWN_BADALT,INTR_BADALT,-3211.0,-18210.3,1837.2,1145.7,85.58,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16837.2,16145.7,-25.00,-25.00
0.10,INTR_BADALT,OWN_BADALT,3211.0,18210.3,-1837.2,-1145.7,85.58,0.0,CLEAR,0,16837.2,16145.7,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.13,OWN_BADALT,INTR_BADALT,-3209.7,-18203.2,1836.4,1144.9,85.55,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16836.4,16144.9,-25.00,-25.00
0.13,INTR_BADALT,OWN_BADALT,3209.7,18203.2,-1836.4,-1144.9,85.55,0.0,CLEAR,0,16836.4,16144.9,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.17,OWN_BADALT,INTR_BADALT,-3208.5,-18196.1,1835.6,1144.1,85.51,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16835.6,16144.1,-25.00,-25.00
0.17,INTR_BADALT,OWN_BADALT,3208.5,18196.1,-1835.6,-1144.1,85.51,0.0,CLEAR,0,16835.6,16144.1,-25.00,-25.00,15000.0,15000.0,0.00,0.00
