time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_BADVS,INTR_BADVS,9256.4,16032.6,999.4,999.4,85.68,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.4,15999.4,-16.89,-25.00
0.00,INTR_BADVS,OWN_BADVS,-9256.4,-16032.6,-999.4,-999.4,85.68,0.0,CLEAR,0,15999.4,15999.4,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.03,OWN_BADVS,INTR_BADVS,9252.8,16026.3,998.9,998.9,85.65,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.9,15998.9,-16.89,-25.00
0.03,INTR_BADVS,OWN_BADVS,-9252.8,-16026.3,-998.9,-998.9,85.65,0.0,CLEAR,0,15998.9,15998.9,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.07,OWN_BADVS,INTR_BADVS,9249.2,16020.1,998.3,998.3,85.61,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.3,15998.3,-16.89,-25.00
0.07,INTR_BADVS,OWN_BADVS,-9249.2,-16020.1,-998.3,-998.3,85.61,0.0,CLEAR,0,15998.3,15998.3,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.10,OWN_BADVS,INTR_BADVS,9245.6,16013.8,997.7,997.7,85.58,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.7,15997.7,-16.89,-25.00
0.10,INTR_BADVS,OWN_BADVS,-9245.6,-16013.8,-997.7,-997.7,85.58,0.0,CLEAR,0,15997.7,15997.7,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.13,OWN_BADVS,INTR_BADVS,9242.0,16007.6,997.2,997.2,85.55,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.2,15997.2,-16.89,-25.00
0.13,INTR_BADVS,OWN_BADVS,-9242.0,-16007.6,-997.2,-997.2,85.55,0.0,CLEAR,0,15997.2,15997.2,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.17,OWN_BADVS,INTR_BADVS,9238.4,16001.4,996.6,996.6,85.51,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.6,15996.6,-16.89,-25.00
0.17,INTR_BADVS,OWN_BADVS,-9238.4,-16001.4,-996.6,-996.6,85.51,0.0,CLEAR,0,15996.6,15996.6,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.20,OWN_BADVS,INTR_BADVS,9234.8,15995.1,996.1,996.1,85.48,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.1,15996.1,-16.89,-25.00
0.20,INTR_BADVS,OWN_BADVS,-9234.8,-15995.1,-996.1,-996.1,85.48,0.0,CLEAR,0,15996.1,15996.1,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.23,OWN_BADVS,INTR_BADVS,9231.2,15988.9,995.5,995.5,85.45,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15995.5,15995.5,-16.89,-25.00
0.23,INTR_BADVS,OWN_BADVS,-9231.2,-15988.9,-995.5,-995.5,85.45,0.0,CLEAR,0,15995.5,15995.5,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.27,OWN_BADVS,INTR_BADVS,9227.6,15982.7,994.9,994.9,85.41,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15994.9,15994.9,-16.89,-25.00
0.27,INTR_BADVS,OWN_BADVS,-9227.6,-15982.7,-994.9,-994.9,85.41,0.0,CLEAR,0,15994.9,15994.9,-16.89,-25.00,15000.0,15000.0,0.00,0.00
0.30,OWN_BADVS,INTR_BADVS,9224.0,15976.4,994.4,994.4,85.38,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15994.4,15994.4,-16.89,-25.00
