time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_CROSSING,INTR_CROSSING,-18512.8,0.0,-999.7,-999.7,85.68,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11000.3,11000.3,8.33,8.33
0.00,INTR_CROSSING,OWN_CROSSING,18512.8,-0.0,999.7,999.7,85.68,0.0,CLEAR,0,11000.3,11000.3,8.33,8.33,12000.0,12000.0,0.00,0.00
0.03,OWN_CROSSING,INTR_CROSSING,-18505.6,0.0,-999.4,-999.4,85.65,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11000.6,11000.6,8.33,8.33
0.03,INTR_CROSSING,OWN_CROSSING,18505.6,-0.0,999.4,999.4,85.65,0.0,CLEAR,0,11000.6,11000.6,8.33,8.33,12000.0,12000.0,0.00,0.00
0.07,OWN_CROSSING,INTR_CROSSING,-18498.4,0.0,-999.2,-999.2,85.61,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11000.8,11000.8,8.33,8.33
0.07,INTR_CROSSING,OWN_CROSSING,18498.4,-0.0,999.2,999.2,85.61,0.0,CLEAR,0,11000.8,11000.8,8.33,8.33,12000.0,12000.0,0.00,0.00
0.10,OWN_CROSSING,INTR_CROSSING,-18491.2,0.0,-998.9,-998.9,85.58,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11001.1,11001.1,8.33,8.33
0.10,INTR_CROSSING,OWN_CROSSING,18491.2,-0.0,998.9,998.9,85.58,0.0,CLEAR,0,11001.1,11001.1,8.33,8.33,12000.0,12000.0,0.00,0.00
0.13,OWN_CROSSING,INTR_CROSSING,-18484.0,0.0,-998.6,-998.6,85.55,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11001.4,11001.4,8.33,8.33
0.13,INTR_CROSSING,OWN_CROSSING,18484.0,-0.0,998.6,998.6,85.55,0.0,CLEAR,0,11001.4,11001.4,8.33,8.33,12000.0,12000.0,0.00,0.00
0.17,OWN_CROSSING,INTR_CROSSING,-18476.8,0.0,-998.3,-998.3,85.51,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11001.7,11001.7,8.33,8.33
0.17,INTR_CROSSING,OWN_CROSSING,18476.8,-0.0,998.3,998.3,85.51,0.0,CLEAR,0,11001.7,11001.7,8.33,8.33,12000.0,12000.0,0.00,0.00
0.20,OWN_CROSSING,INTR_CROSSING,-18469.6,0.0,-998.1,-998.1,85.48,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11001.9,11001.9,8.33,8.33
0.20,INTR_CROSSING,OWN_CROSSING,18469.6,-0.0,998.1,998.1,85.48,0.0,CLEAR,0,11001.9,11001.9,8.33,8.33,12000.0,12000.0,0.00,0.00
0.23,OWN_CROSSING,INTR_CROSSING,-18462.4,0.0,-997.8,-997.8,85.45,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11002.2,11002.2,8.33,8.33
0.23,INTR_CROSSING,OWN_CROSSING,18462.4,-0.0,997.8,997.8,85.45,0.0,CLEAR,0,11002.2,11002.2,8.33,8.33,12000.0,12000.0,0.00,0.00
0.27,OWN_CROSSING,INTR_CROSSING,-18455.2,0.0,-997.5,-997.5,85.41,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11002.5,11002.5,8.33,8.33
0.27,INTR_CROSSING,OWN_CROSSING,18455.2,-0.0,997.5,997.5,85.41,0.0,CLEAR,0,11002.5,11002.5,8.33,8.33,12000.0,12000.0,0.00,0.00
0.30,OWN_CROSSING,INTR_CROSSING,-18448.0,0.0,-997.2,-997.2,85.38,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11002.8,11002.8,8.33,8.33
0.30,INTR_CROSSING,OWN_CROSSING,18448.0,-0.0,997.2,997.2,85.38,0.0,CLEAR,0,11002.8,11002.8,8.33,8.33,12000.0,12000.0,0.00,0.00
0.33,OWN_CROSSING,INTR_CROSSING,-18440.8,0.0,-996.9,-996.9,85.35,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11003.1,11003.1,8.33,8.33
0.33,INTR_CROSSING,OWN_CROSSING,18440.8,-0.0,996.9,996.9,85.35,0.0,CLEAR,0,11003.1,11003.1,8.33,8.33,12000.0,12000.0,0.00,0.00
0.37,OWN_CROSSING,INTR_CROSSING,-18433.6,0.0,-996.7,-996.7,85.31,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11003.3,11003.3,8.33,8.33
0.37,INTR_CROSSING,OWN_CROSSING,18433.6,-0.0,996.7,996.7,85.31,0.0,CLEAR,0,11003.3,11003.3,8.33,8.33,12000.0,12000.0,0.00,0.00
0.40,OWN_CROSSING,INTR_CROSSING,-18426.4,0.0,-996.4,-996.4,85.28,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11003.6,11003.6,8.33,8.33
0.40,INTR_CROSSING,OWN_CROSSING,18426.4,-0.0,996.4,996.4,85.28,0.0,CLEAR,0,11003.6,11003.6,8.33,8.33,12000.0,12000.0,0.00,0.00
0.43,OWN_CROSSING,INTR_CROSSING,-18419.2,0.0,-996.1,-996.1,85.25,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11003.9,11003.9,8.33,8.33
0.43,INTR_CROSSING,OWN_CROSSING,18419.2,-0.0,996.1,996.1,85.25,0.0,CLEAR,0,11003.9,11003.9,8.33,8.33,12000.0,12000.0,0.00,0.00
0.47,OWN_CROSSING,INTR_CROSSING,-18412.0,0.0,-995.8,-995.8,85.21,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11004.2,11004.2,8.33,8.33
0.47,INTR_CROSSING,OWN_CROSSING,18412.0,-0.0,995.8,995.8,85.21,0.0,CLEAR,0,11004.2,11004.2,8.33,8.33,12000.0,12000.0,0.00,0.00
0.50,OWN_CROSSING,INTR_CROSSING,-18404.8,0.0,-995.6,-995.6,85.18,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11004.4,11004.4,8.33,8.33
0.50,INTR_CROSSING,OWN_CROSSING,18404.8,-0.0,995.6,995.6,85.18,0.0,CLEAR,0,11004.4,11004.4,8.33,8.33,12000.0,12000.0,0.00,0.00
0.53,OWN_CROSSING,INTR_CROSSING,-18397.6,0.0,-995.3,-995.3,85.15,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11004.7,11004.7,8.33,8.33
0.53,INTR_CROSSING,OWN_CROSSING,18397.6,-0.0,995.3,995.3,85.15,0.0,CLEAR,0,11004.7,11004.7,8.33,8.33,12000.0,12000.0,0.00,0.00
0.57,OWN_CROSSING,INTR_CROSSING,-18390.4,0.0,-995.0,-995.0,85.11,0.0,CLEAR,0,12000.0,12000.0,0.00,0.00,11005.0,11005.0,8.33,8.33
0.57,INTR_CROSSING,OWN_CROSSING,18390.4,-0.0,995.0,995.0,85.11,0.0,CLEAR,0,11005.0,11005.0,8.33,8.33,12000.0,12000.0,0.00,0.00
