time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18514.9,-999.6,-999.6,119.97,0.0,CLEAR,0,15999.6,15999.6,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.00,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18514.9,999.6,999.6,119.97,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.6,15999.6,-11.67,-11.67
0.03,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18509.7,-999.2,-999.2,119.93,0.0,CLEAR,0,15999.2,15999.2,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.03,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18509.7,999.2,999.2,119.93,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.2,15999.2,-11.67,-11.67
0.07,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18504.6,-998.8,-998.8,119.90,0.0,CLEAR,0,15998.8,15998.8,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.07,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18504.6,998.8,998.8,119.90,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.8,15998.8,-11.67,-11.67
0.10,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18499.4,-998.4,-998.4,119.87,0.0,CLEAR,0,15998.4,15998.4,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.10,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18499.4,998.4,998.4,119.87,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.4,15998.4,-11.67,-11.67
0.13,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18494.3,-998.1,-998.1,119.83,0.0,CLEAR,0,15998.1,15998.1,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.13,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18494.3,998.1,998.1,119.83,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.1,15998.1,-11.67,-11.67
0.17,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18489.1,-997.7,-997.7,119.80,0.0,CLEAR,0,15997.7,15997.7,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.17,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18489.1,997.7,997.7,119.80,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.7,15997.7,-11.67,-11.67
0.20,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18484.0,-997.3,-997.3,119.77,0.0,CLEAR,0,15997.3,15997.3,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.20,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18484.0,997.3,997.3,119.77,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.3,15997.3,-11.67,-11.67
0.23,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18478.8,-996.9,-996.9,119.73,0.0,CLEAR,0,15996.9,15996.9,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.23,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18478.8,996.9,996.9,119.73,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.9,15996.9,-11.67,-11.67
0.27,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18473.7,-996.5,-996.5,119.70,0.0,CLEAR,0,15996.5,15996.5,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.27,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18473.7,996.5,996.5,119.70,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.5,15996.5,-11.67,-11.67
0.30,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18468.6,-996.1,-996.1,119.67,0.0,CLEAR,0,15996.1,15996.1,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.30,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18468.6,996.1,996.1,119.67,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.1,15996.1,-11.67,-11.67
0.33,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18463.4,-995.7,-995.7,119.63,0.0,CLEAR,0,15995.7,15995.7,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.33,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18463.4,995.7,995.7,119.63,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15995.7,15995.7,-11.67,-11.67
0.37,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18458.3,-995.3,-995.3,119.60,0.0,CLEAR,0,15995.3,15995.3,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.37,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18458.3,995.3,995.3,119.60,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15995.3,15995.3,-11.67,-11.67
0.40,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18453.1,-994.9,-994.9,119.57,0.0,CLEAR,0,15994.9,15994.9,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.40,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18453.1,994.9,994.9,119.57,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15994.9,15994.9,-11.67,-11.67
0.43,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18448.0,-994.6,-994.6,119.53,0.0,CLEAR,0,15994.6,15994.6,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.43,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18448.0,994.6,994.6,119.53,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15994.6,15994.6,-11.67,-11.67
0.47,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18442.8,-994.2,-994.2,119.50,0.0,CLEAR,0,15994.2,15994.2,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.47,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18442.8,994.2,994.2,119.50,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15994.2,15994.2,-11.67,-11.67
0.50,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18437.7,-993.8,-993.8,119.47,0.0,CLEAR,0,15993.8,15993.8,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.50,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18437.7,993.8,993.8,119.47,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15993.8,15993.8,-11.67,-11.67
0.53,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18432.5,-993.4,-993.4,119.43,0.0,CLEAR,0,15993.4,15993.4,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.53,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18432.5,993.4,993.4,119.43,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15993.4,15993.4,-11.67,-11.67
0.57,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18427.4,-993.0,-993.0,119.40,0.0,CLEAR,0,15993.0,15993.0,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.57,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18427.4,993.0,993.0,119.40,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15993.0,15993.0,-11.67,-11.67
0.60,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18422.3,-992.6,-992.6,119.37,0.0,CLEAR,0,15992.6,15992.6,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.60,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18422.3,992.6,992.6,119.37,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15992.6,15992.6,-11.67,-11.67
0.63,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18417.1,-992.2,-992.2,119.33,0.0,CLEAR,0,15992.2,15992.2,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.63,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18417.1,992.2,992.2,119.33,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15992.2,15992.2,-11.67,-11.67
0.67,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18412.0,-991.8,-991.8,119.30,0.0,CLEAR,0,15991.8,15991.8,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.67,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18412.0,991.8,991.8,119.30,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15991.8,15991.8,-11.67,-11.67
0.70,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18406.8,-991.4,-991.4,119.27,0.0,CLEAR,0,15991.4,15991.4,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.70,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18406.8,991.4,991.4,119.27,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15991.4,15991.4,-11.67,-11.67
0.73,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18401.7,-991.1,-991.1,119.23,0.0,CLEAR,0,15991.1,15991.1,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.73,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18401.7,991.1,991.1,119.23,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15991.1,15991.1,-11.67,-11.67
0.77,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18396.5,-990.7,-990.7,119.20,0.0,CLEAR,0,15990.7,15990.7,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.77,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18396.5,990.7,990.7,119.20,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15990.7,15990.7,-11.67,-11.67
0.80,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18391.4,-990.3,-990.3,119.17,0.0,CLEAR,0,15990.3,15990.3,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.80,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18391.4,990.3,990.3,119.17,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15990.3,15990.3,-11.67,-11.67
0.83,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18386.2,-989.9,-989.9,119.13,0.0,CLEAR,0,15989.9,15989.9,-11.67,-11.67,15000.0,15000.0,0.00,0.00
0.83,INTR_DESCEND_VS_LEVEL,OWN_DESCEND_VS_LEVEL,-0.0,-18386.2,989.9,989.9,119.13,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15989.9,15989.9,-11.67,-11.67
0.87,OWN_DESCEND_VS_LEVEL,INTR_DESCEND_VS_LEVEL,0.0,18381.1,-989.5,-989.5,119.10,0.0,CLEAR,0,15989.5,15989.5,-11.67,-11.67,15000.0,15000.0,0.00,0.00
