time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_HEADON,INTR_HEADON,0.0,18512.1,999.7,999.7,78.23,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10999.7,10999.7,-8.33,-8.33
0.00,INTR_HEADON,OWN_HEADON,-0.0,-18512.1,-999.7,-999.7,78.23,0.0,CLEAR,0,10999.7,10999.7,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.03,OWN_HEADON,INTR_HEADON,0.0,18504.2,999.4,999.4,78.19,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10999.4,10999.4,-8.33,-8.33
0.03,INTR_HEADON,OWN_HEADON,-0.0,-18504.2,-999.4,-999.4,78.19,0.0,CLEAR,0,10999.4,10999.4,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.07,OWN_HEADON,INTR_HEADON,0.0,18496.3,999.2,999.2,78.16,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10999.2,10999.2,-8.33,-8.33
0.07,INTR_HEADON,OWN_HEADON,-0.0,-18496.3,-999.2,-999.2,78.16,0.0,CLEAR,0,10999.2,10999.2,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.10,OWN_HEADON,INTR_HEADON,0.0,18488.4,998.9,998.9,78.13,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10998.9,10998.9,-8.33,-8.33
0.10,INTR_HEADON,OWN_HEADON,-0.0,-18488.4,-998.9,-998.9,78.13,0.0,CLEAR,0,10998.9,10998.9,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.13,OWN_HEADON,INTR_HEADON,0.0,18480.6,998.6,998.6,78.09,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10998.6,10998.6,-8.33,-8.33
0.13,INTR_HEADON,OWN_HEADON,-0.0,-18480.6,-998.6,-998.6,78.09,0.0,CLEAR,0,10998.6,10998.6,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.17,OWN_HEADON,INTR_HEADON,0.0,18472.7,998.3,998.3,78.06,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10998.3,10998.3,-8.33,-8.33
0.17,INTR_HEADON,OWN_HEADON,-0.0,-18472.7,-998.3,-998.3,78.06,0.0,CLEAR,0,10998.3,10998.3,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.20,OWN_HEADON,INTR_HEADON,0.0,18464.8,998.1,998.1,78.03,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10998.1,10998.1,-8.33,-8.33
0.20,INTR_HEADON,OWN_HEADON,-0.0,-18464.8,-998.1,-998.1,78.03,0.0,CLEAR,0,10998.1,10998.1,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.23,OWN_HEADON,INTR_HEADON,0.0,18456.9,997.8,997.8,77.99,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10997.8,10997.8,-8.33,-8.33
0.23,INTR_HEADON,OWN_HEADON,-0.0,-18456.9,-997.8,-997.8,77.99,0.0,CLEAR,0,10997.8,10997.8,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.27,OWN_HEADON,INTR_HEADON,0.0,18449.0,997.5,997.5,77.96,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10997.5,10997.5,-8.33,-8.33
0.27,INTR_HEADON,OWN_HEADON,-0.0,-18449.0,-997.5,-997.5,77.96,0.0,CLEAR,0,10997.5,10997.5,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.30,OWN_HEADON,INTR_HEADON,0.0,18441.1,997.2,997.2,77.93,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10997.2,10997.2,-8.33,-8.33
0.30,INTR_HEADON,OWN_HEADON,-0.0,-18441.1,-997.2,-997.2,77.93,0.0,CLEAR,0,10997.2,10997.2,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.33,OWN_HEADON,INTR_HEADON,0.0,18433.2,996.9,996.9,77.89,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10996.9,10996.9,-8.33,-8.33
0.33,INTR_HEADON,OWN_HEADON,-0.0,-18433.2,-996.9,-996.9,77.89,0.0,CLEAR,0,10996.9,10996.9,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.37,OWN_HEADON,INTR_HEADON,0.0,18425.3,996.7,996.7,77.86,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10996.7,10996.7,-8.33,-8.33
0.37,INTR_HEADON,OWN_HEADON,-0.0,-18425.3,-996.7,-996.7,77.86,0.0,CLEAR,0,10996.7,10996.7,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.40,OWN_HEADON,INTR_HEADON,0.0,18417.5,996.4,996.4,77.83,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10996.4,10996.4,-8.33,-8.33
0.40,INTR_HEADON,OWN_HEADON,-0.0,-18417.5,-996.4,-996.4,77.83,0.0,CLEAR,0,10996.4,10996.4,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.43,OWN_HEADON,INTR_HEADON,0.0,18409.6,996.1,996.1,77.79,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10996.1,10996.1,-8.33,-8.33
0.43,INTR_HEADON,OWN_HEADON,-0.0,-18409.6,-996.1,-996.1,77.79,0.0,CLEAR,0,10996.1,10996.1,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.47,OWN_HEADON,INTR_HEADON,0.0,18401.7,995.8,995.8,77.76,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10995.8,10995.8,-8.33,-8.33
0.47,INTR_HEADON,OWN_HEADON,-0.0,-18401.7,-995.8,-995.8,77.76,0.0,CLEAR,0,10995.8,10995.8,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.50,OWN_HEADON,INTR_HEADON,0.0,18393.8,995.6,995.6,77.73,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10995.6,10995.6,-8.33,-8.33
0.50,INTR_HEADON,OWN_HEADON,-0.0,-18393.8,-995.6,-995.6,77.73,0.0,CLEAR,0,10995.6,10995.6,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.53,OWN_HEADON,INTR_HEADON,0.0,18385.9,995.3,995.3,77.69,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10995.3,10995.3,-8.33,-8.33
0.53,INTR_HEADON,OWN_HEADON,-0.0,-18385.9,-995.3,-995.3,77.69,0.0,CLEAR,0,10995.3,10995.3,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.57,OWN_HEADON,INTR_HEADON,0.0,18378.0,995.0,995.0,77.66,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10995.0,10995.0,-8.33,-8.33
0.57,INTR_HEADON,OWN_HEADON,-0.0,-18378.0,-995.0,-995.0,77.66,0.0,CLEAR,0,10995.0,10995.0,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.60,OWN_HEADON,INTR_HEADON,0.0,18370.1,994.7,994.7,77.63,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10994.7,10994.7,-8.33,-8.33
0.60,INTR_HEADON,OWN_HEADON,-0.0,-18370.1,-994.7,-994.7,77.63,0.0,CLEAR,0,10994.7,10994.7,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.63,OWN_HEADON,INTR_HEADON,0.0,18362.2,994.4,994.4,77.59,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10994.4,10994.4,-8.33,-8.33
0.63,INTR_HEADON,OWN_HEADON,-0.0,-18362.2,-994.4,-994.4,77.59,0.0,CLEAR,0,10994.4,10994.4,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.67,OWN_HEADON,INTR_HEADON,0.0,18354.3,994.2,994.2,77.56,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10994.2,10994.2,-8.33,-8.33
0.67,INTR_HEADON,OWN_HEADON,-0.0,-18354.3,-994.2,-994.2,77.56,0.0,CLEAR,0,10994.2,10994.2,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.70,OWN_HEADON,INTR_HEADON,0.0,18346.5,993.9,993.9,77.53,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10993.9,10993.9,-8.33,-8.33
0.70,INTR_HEADON,OWN_HEADON,-0.0,-18346.5,-993.9,-993.9,77.53,0.0,CLEAR,0,10993.9,10993.9,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.73,OWN_HEADON,INTR_HEADON,0.0,18338.6,993.6,993.6,77.49,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10993.6,10993.6,-8.33,-8.33
0.73,INTR_HEADON,OWN_HEADON,-0.0,-18338.6,-993.6,-993.6,77.49,0.0,CLEAR,0,10993.6,10993.6,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.77,OWN_HEADON,INTR_HEADON,0.0,18330.7,993.3,993.3,77.46,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10993.3,10993.3,-8.33,-8.33
0.77,INTR_HEADON,OWN_HEADON,-0.0,-18330.7,-993.3,-993.3,77.46,0.0,CLEAR,0,10993.3,10993.3,-8.33,-8.33,10000.0,10000.0,0.00,0.00
0.80,OWN_HEADON,INTR_HEADON,0.0,18322.8,993.1,993.1,77.43,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,10993.1,10993.1,-8.33,-8.33
0.80,INTR_HEADON,OWN_HEADON,-0.0,-18322.8,-993.1,-993.1,77.43,0.0,CLEAR,0,10993.1,10993.1,-8.33,-8.33,10000.0,10000.0,0.00,0.00
