time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12956.3,1999.2,1999.2,55.97,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16999.2,16999.2,-25.00,-25.00
0.00,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12956.3,-1999.2,-1999.2,55.97,0.0,CLEAR,0,16999.2,16999.2,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.03,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12948.6,1998.3,1998.3,55.93,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16998.3,16998.3,-25.00,-25.00
0.03,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12948.6,-1998.3,-1998.3,55.93,0.0,CLEAR,0,16998.3,16998.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.07,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12940.9,1997.5,1997.5,55.90,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16997.5,16997.5,-25.00,-25.00
0.07,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12940.9,-1997.5,-1997.5,55.90,0.0,CLEAR,0,16997.5,16997.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.10,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12933.1,1996.7,1996.7,55.87,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16996.7,16996.7,-25.00,-25.00
0.10,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12933.1,-1996.7,-1996.7,55.87,0.0,CLEAR,0,16996.7,16996.7,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.13,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12925.4,1995.8,1995.8,55.83,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16995.8,16995.8,-25.00,-25.00
0.13,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12925.4,-1995.8,-1995.8,55.83,0.0,CLEAR,0,16995.8,16995.8,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.17,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12917.7,1995.0,1995.0,55.80,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16995.0,16995.0,-25.00,-25.00
0.17,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12917.7,-1995.0,-1995.0,55.80,0.0,CLEAR,0,16995.0,16995.0,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.20,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12910.0,1994.2,1994.2,55.77,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16994.2,16994.2,-25.00,-25.00
0.20,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12910.0,-1994.2,-1994.2,55.77,0.0,CLEAR,0,16994.2,16994.2,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.23,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12902.3,1993.3,1993.3,55.73,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16993.3,16993.3,-25.00,-25.00
0.23,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12902.3,-1993.3,-1993.3,55.73,0.0,CLEAR,0,16993.3,16993.3,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.27,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12894.6,1992.5,1992.5,55.70,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16992.5,16992.5,-25.00,-25.00
0.27,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12894.6,-1992.5,-1992.5,55.70,0.0,CLEAR,0,16992.5,16992.5,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.30,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12886.8,1991.7,1991.7,55.67,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16991.7,16991.7,-25.00,-25.00
0.30,INTR_HIGH_VERT_SEP,OWN_HIGH_VERT_SEP,-0.0,-12886.8,-1991.7,-1991.7,55.67,0.0,CLEAR,0,16991.7,16991.7,-25.00,-25.00,15000.0,15000.0,0.00,0.00
0.33,OWN_HIGH_VERT_SEP,INTR_HIGH_VERT_SEP,0.0,12879.1,1990.8,1990.8,55.63,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,16990.8,16990.8,-25.00,-25.00
