time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3698.0,149.7,149.7,20.54,0.0,RA_CROSSING_DESCEND,0,15000.0,15000.0,-30.00,-30.00,15149.7,15149.7,-8.33,-8.33
0.00,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3698.0,-149.7,-149.7,20.54,0.0,RA_CROSSING_CLIMB,0,15149.7,15149.7,30.00,30.00,15000.0,15000.0,-30.00,-30.00
0.03,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3692.0,151.7,151.7,20.50,0.0,RA_CROSSING_DESCEND,0,14999.0,14999.0,-30.00,-30.00,15150.7,15150.7,30.00,30.00
0.03,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3692.0,-151.7,-151.7,20.50,0.0,RA_CROSSING_CLIMB,0,15150.7,15150.7,30.00,30.00,14999.0,14999.0,-30.00,-30.00
0.07,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3686.0,153.7,153.7,20.47,0.0,RA_CROSSING_DESCEND,0,14998.0,14998.0,-30.00,-30.00,15151.7,15151.7,30.00,30.00
0.07,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3686.0,-153.7,-153.7,20.47,0.0,RA_CROSSING_CLIMB,0,15151.7,15151.7,30.00,30.00,14998.0,14998.0,-30.00,-30.00
0.10,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3680.0,155.7,155.7,20.44,0.0,RA_CROSSING_DESCEND,0,14997.0,14997.0,-30.00,-30.00,15152.7,15152.7,30.00,30.00
0.10,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3680.0,-155.7,-155.7,20.44,0.0,RA_CROSSING_CLIMB,0,15152.7,15152.7,30.00,30.00,14997.0,14997.0,-30.00,-30.00
0.13,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3674.0,157.7,157.7,20.40,0.0,RA_CROSSING_DESCEND,0,14996.0,14996.0,-30.00,-30.00,15153.7,15153.7,30.00,30.00
0.13,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3674.0,-157.7,-157.7,20.40,0.0,RA_CROSSING_CLIMB,0,15153.7,15153.7,30.00,30.00,14996.0,14996.0,-30.00,-30.00
0.17,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3668.0,159.7,159.7,20.37,0.0,RA_CROSSING_DESCEND,0,14995.0,14995.0,-30.00,-30.00,15154.7,15154.7,30.00,30.00
0.17,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3668.0,-159.7,-159.7,20.37,0.0,RA_CROSSING_CLIMB,0,15154.7,15154.7,30.00,30.00,14995.0,14995.0,-30.00,-30.00
0.20,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3662.0,161.7,161.7,20.34,0.0,RA_CROSSING_DESCEND,0,14994.0,14994.0,-30.00,-30.00,15155.7,15155.7,30.00,30.00
0.20,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3662.0,-161.7,-161.7,20.34,0.0,RA_CROSSING_CLIMB,0,15155.7,15155.7,30.00,30.00,14994.0,14994.0,-30.00,-30.00
0.23,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3656.0,163.7,163.7,20.30,0.0,RA_CROSSING_DESCEND,0,14993.0,14993.0,-30.00,-30.00,15156.7,15156.7,30.00,30.00
0.23,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3656.0,-163.7,-163.7,20.30,0.0,RA_CROSSING_CLIMB,0,15156.7,15156.7,30.00,30.00,14993.0,14993.0,-30.00,-30.00
0.27,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3650.0,165.7,165.7,20.27,0.0,RA_CROSSING_DESCEND,0,14992.0,14992.0,-30.00,-30.00,15157.7,15157.7,30.00,30.00
0.27,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3650.0,-165.7,-165.7,20.27,0.0,RA_CROSSING_CLIMB,0,15157.7,15157.7,30.00,30.00,14992.0,14992.0,-30.00,-30.00
0.30,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3644.0,167.7,167.7,20.24,0.0,RA_CROSSING_DESCEND,0,14991.0,14991.0,-30.00,-30.00,15158.7,15158.7,30.00,30.00
0.30,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,-0.0,-3644.0,-167.7,-167.7,20.24,0.0,RA_CROSSING_CLIMB,0,15158.7,15158.7,30.00,30.00,14991.0,14991.0,-30.00,-30.00
0.33,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,3638.0,169.7,169.7,20.20,0.0,RA_CROSSING_DESCEND,0,14990.0,14990.0,-30.00,-30.00,15159.7,15159.7,30.00,30.00
