time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_NMAC_EDGE,INTR_NMAC_EDGE,0.0,-2213.8,-50.0,-50.0,8.61,0.0,RA_CROSSING_CLIMB,0,25000.0,25000.0,30.00,30.00,24950.0,24950.0,0.00,0.00
0.00,INTR_NMAC_EDGE,OWN_NMAC_EDGE,0.0,2213.8,50.0,50.0,8.61,0.0,RA_CROSSING_DESCEND,0,24950.0,24950.0,-30.00,-30.00,25000.0,25000.0,30.00,30.00
0.03,OWN_NMAC_EDGE,INTR_NMAC_EDGE,0.0,-2205.3,-52.0,-52.0,8.57,0.0,RA_INCREASE_CLIMB,0,25001.0,25001.0,41.67,41.67,24949.0,24949.0,-30.00,-30.00
0.03,INTR_NMAC_EDGE,OWN_NMAC_EDGE,0.0,2205.3,52.0,52.0,8.57,0.0,RA_INCREASE_DESCEND,0,24949.0,24949.0,-41.67,-41.67,25001.0,25001.0,41.67,41.67
0.07,OWN_NMAC_EDGE,INTR_NMAC_EDGE,0.0,-2196.7,-54.8,-54.8,8.54,0.0,RA_INCREASE_CLIMB,0,25002.4,25002.4,41.67,41.67,24947.6,24947.6,-41.67,-41.67
0.07,INTR_NMAC_EDGE,OWN_NMAC_EDGE,0.0,2196.7,54.8,54.8,8.54,0.0,RA_INCREASE_DESCEND,0,24947.6,24947.6,-41.67,-41.67,25002.4,25002.4,41.67,41.67
0.10,OWN_NMAC_EDGE,INTR_NMAC_EDGE,0.0,-2188.1,-57.6,-57.6,8.51,0.0,RA_INCREASE_CLIMB,0,25003.8,25003.8,41.67,41.67,24946.2,24946.2,-41.67,-41.67
0.10,INTR_NMAC_EDGE,OWN_NMAC_EDGE,0.0,2188.1,57.6,57.6,8.51,0.0,RA_INCREASE_DESCEND,0,24946.2,24946.2,-41.67,-41.67,25003.8,25003.8,41.67,41.67
0.13,OWN_NMAC_EDGE,INTR_NMAC_EDGE,0.0,-2179.5,-60.3,-60.3,8.47,0.0,RA_INCREASE_CLIMB,0,25005.2,25005.2,41.67,41.67,24944.8,24944.8,-41.67,-41.67
0.13,INTR_NMAC_EDGE,OWN_NMAC_EDGE,0.0,2179.5,60.3,60.3,8.47,0.0,RA_INCREASE_DESCEND,0,24944.8,24944.8,-41.67,-41.67,25005.2,25005.2,41.67,41.67
