time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7404.6,999.7,999.7,71.97,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11999.7,11999.7,-8.33,-8.33
0.00,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7404.6,-999.7,-999.7,71.97,0.0,CLEAR,0,11999.7,11999.7,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.03,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7401.1,999.4,999.4,71.93,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11999.4,11999.4,-8.33,-8.33
0.03,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7401.1,-999.4,-999.4,71.93,0.0,CLEAR,0,11999.4,11999.4,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.07,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7397.7,999.2,999.2,71.90,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11999.2,11999.2,-8.33,-8.33
0.07,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7397.7,-999.2,-999.2,71.90,0.0,CLEAR,0,11999.2,11999.2,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.10,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7394.3,998.9,998.9,71.87,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11998.9,11998.9,-8.33,-8.33
0.10,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7394.3,-998.9,-998.9,71.87,0.0,CLEAR,0,11998.9,11998.9,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.13,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7390.9,998.6,998.6,71.83,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11998.6,11998.6,-8.33,-8.33
0.13,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7390.9,-998.6,-998.6,71.83,0.0,CLEAR,0,11998.6,11998.6,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.17,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7387.4,998.3,998.3,71.80,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11998.3,11998.3,-8.33,-8.33
0.17,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7387.4,-998.3,-998.3,71.80,0.0,CLEAR,0,11998.3,11998.3,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.20,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7384.0,998.1,998.1,71.77,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11998.1,11998.1,-8.33,-8.33
0.20,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7384.0,-998.1,-998.1,71.77,0.0,CLEAR,0,11998.1,11998.1,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.23,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7380.6,997.8,997.8,71.73,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11997.8,11997.8,-8.33,-8.33
0.23,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7380.6,-997.8,-997.8,71.73,0.0,CLEAR,0,11997.8,11997.8,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.27,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7377.1,997.5,997.5,71.70,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11997.5,11997.5,-8.33,-8.33
0.27,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7377.1,-997.5,-997.5,71.70,0.0,CLEAR,0,11997.5,11997.5,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.30,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7373.7,997.2,997.2,71.67,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11997.2,11997.2,-8.33,-8.33
0.30,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7373.7,-997.2,-997.2,71.67,0.0,CLEAR,0,11997.2,11997.2,-8.33,-8.33,11000.0,11000.0,0.00,0.00
0.33,OWN_OVERTAKE,INTR_OVERTAKE,0.0,-7370.3,996.9,996.9,71.63,0.0,CLEAR,0,11000.0,11000.0,0.00,0.00,11996.9,11996.9,-8.33,-8.33
0.33,INTR_OVERTAKE,OWN_OVERTAKE,0.0,7370.3,-996.9,-996.9,71.63,0.0,CLEAR,0,11996.9,11996.9,-8.33,-8.33,11000.0,11000.0,0.00,0.00
