time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_PARALLEL,INTR_PARALLEL,1613.5,18442.7,999.7,999.7,89.97,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.7,15999.7,-8.33,-8.33
0.00,INTR_PARALLEL,OWN_PARALLEL,-1613.5,-18442.7,-999.7,-999.7,89.97,0.0,CLEAR,0,15999.7,15999.7,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.03,OWN_PARALLEL,INTR_PARALLEL,1612.9,18435.9,999.4,999.4,89.93,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.4,15999.4,-8.33,-8.33
0.03,INTR_PARALLEL,OWN_PARALLEL,-1612.9,-18435.9,-999.4,-999.4,89.93,0.0,CLEAR,0,15999.4,15999.4,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.07,OWN_PARALLEL,INTR_PARALLEL,1612.3,18429.0,999.2,999.2,89.90,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.2,15999.2,-8.33,-8.33
0.07,INTR_PARALLEL,OWN_PARALLEL,-1612.3,-18429.0,-999.2,-999.2,89.90,0.0,CLEAR,0,15999.2,15999.2,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.10,OWN_PARALLEL,INTR_PARALLEL,1611.7,18422.2,998.9,998.9,89.87,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.9,15998.9,-8.33,-8.33
0.10,INTR_PARALLEL,OWN_PARALLEL,-1611.7,-18422.2,-998.9,-998.9,89.87,0.0,CLEAR,0,15998.9,15998.9,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.13,OWN_PARALLEL,INTR_PARALLEL,1611.1,18415.4,998.6,998.6,89.83,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.6,15998.6,-8.33,-8.33
0.13,INTR_PARALLEL,OWN_PARALLEL,-1611.1,-18415.4,-998.6,-998.6,89.83,0.0,CLEAR,0,15998.6,15998.6,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.17,OWN_PARALLEL,INTR_PARALLEL,1610.5,18408.5,998.3,998.3,89.80,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.3,15998.3,-8.33,-8.33
0.17,INTR_PARALLEL,OWN_PARALLEL,-1610.5,-18408.5,-998.3,-998.3,89.80,0.0,CLEAR,0,15998.3,15998.3,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.20,OWN_PARALLEL,INTR_PARALLEL,1609.9,18401.7,998.1,998.1,89.77,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15998.1,15998.1,-8.33,-8.33
0.20,INTR_PARALLEL,OWN_PARALLEL,-1609.9,-18401.7,-998.1,-998.1,89.77,0.0,CLEAR,0,15998.1,15998.1,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.23,OWN_PARALLEL,INTR_PARALLEL,1609.3,18394.9,997.8,997.8,89.73,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.8,15997.8,-8.33,-8.33
0.23,INTR_PARALLEL,OWN_PARALLEL,-1609.3,-18394.9,-997.8,-997.8,89.73,0.0,CLEAR,0,15997.8,15997.8,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.27,OWN_PARALLEL,INTR_PARALLEL,1608.7,18388.0,997.5,997.5,89.70,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.5,15997.5,-8.33,-8.33
0.27,INTR_PARALLEL,OWN_PARALLEL,-1608.7,-18388.0,-997.5,-997.5,89.70,0.0,CLEAR,0,15997.5,15997.5,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.30,OWN_PARALLEL,INTR_PARALLEL,1608.1,18381.2,997.2,997.2,89.67,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15997.2,15997.2,-8.33,-8.33
0.30,INTR_PARALLEL,OWN_PARALLEL,-1608.1,-18381.2,-997.2,-997.2,89.67,0.0,CLEAR,0,15997.2,15997.2,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.33,OWN_PARALLEL,INTR_PARALLEL,1607.5,18374.4,996.9,996.9,89.63,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15996.9,15996.9,-8.33,-8.33
0.33,INTR_PARALLEL,OWN_PARALLEL,-1607.5,-18374.4,-996.9,-996.9,89.63,0.0,CLEAR,0,15996.9,15996.9,-8.33,-8.33,15000.0,15000.0,0.00,0.00
