time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_PARITY,INTR_PARITY,2572.2,-14587.5,-299.9,-299.9,143.97,0.0,CLEAR,0,20000.1,20000.1,1.67,1.67,19700.1,19700.1,3.33,3.33
0.00,INTR_PARITY,OWN_PARITY,-2572.2,14587.5,299.9,299.9,143.97,0.0,CLEAR,0,19700.1,19700.1,3.33,3.33,20000.1,20000.1,1.67,1.67
0.03,OWN_PARITY,INTR_PARITY,2571.6,-14584.2,-299.9,-299.9,143.93,0.0,CLEAR,0,20000.1,20000.1,1.67,1.67,19700.2,19700.2,3.33,3.33
0.03,INTR_PARITY,OWN_PARITY,-2571.6,14584.2,299.9,299.9,143.93,0.0,CLEAR,0,19700.2,19700.2,3.33,3.33,20000.1,20000.1,1.67,1.67
0.07,OWN_PARITY,INTR_PARITY,2571.0,-14580.8,-299.8,-299.8,143.90,0.0,CLEAR,0,20000.2,20000.2,1.67,1.67,19700.3,19700.3,3.33,3.33
0.07,INTR_PARITY,OWN_PARITY,-2571.0,14580.8,299.8,299.8,143.90,0.0,CLEAR,0,19700.3,19700.3,3.33,3.33,20000.2,20000.2,1.67,1.67
0.10,OWN_PARITY,INTR_PARITY,2570.4,-14577.4,-299.8,-299.8,143.87,0.0,CLEAR,0,20000.2,20000.2,1.67,1.67,19700.4,19700.4,3.33,3.33
0.10,INTR_PARITY,OWN_PARITY,-2570.4,14577.4,299.8,299.8,143.87,0.0,CLEAR,0,19700.4,19700.4,3.33,3.33,20000.2,20000.2,1.67,1.67
0.13,OWN_PARITY,INTR_PARITY,2569.8,-14574.0,-299.7,-299.7,143.83,0.0,CLEAR,0,20000.3,20000.3,1.67,1.67,19700.6,19700.6,3.33,3.33
0.13,INTR_PARITY,OWN_PARITY,-2569.8,14574.0,299.7,299.7,143.83,0.0,CLEAR,0,19700.6,19700.6,3.33,3.33,20000.3,20000.3,1.67,1.67
0.17,OWN_PARITY,INTR_PARITY,2569.2,-14570.6,-299.7,-299.7,143.80,0.0,CLEAR,0,20000.3,20000.3,1.67,1.67,19700.7,19700.7,3.33,3.33
0.17,INTR_PARITY,OWN_PARITY,-2569.2,14570.6,299.7,299.7,143.80,0.0,CLEAR,0,19700.7,19700.7,3.33,3.33,20000.3,20000.3,1.67,1.67
0.20,OWN_PARITY,INTR_PARITY,2568.6,-14567.3,-299.6,-299.6,143.77,0.0,CLEAR,0,20000.4,20000.4,1.67,1.67,19700.8,19700.8,3.33,3.33
0.20,INTR_PARITY,OWN_PARITY,-2568.6,14567.3,299.6,299.6,143.77,0.0,CLEAR,0,19700.8,19700.8,3.33,3.33,20000.4,20000.4,1.67,1.67
0.23,OWN_PARITY,INTR_PARITY,2568.0,-14563.9,-299.6,-299.6,143.73,0.0,CLEAR,0,20000.4,20000.4,1.67,1.67,19700.9,19700.9,3.33,3.33
0.23,INTR_PARITY,OWN_PARITY,-2568.0,14563.9,299.6,299.6,143.73,0.0,CLEAR,0,19700.9,19700.9,3.33,3.33,20000.4,20000.4,1.67,1.67
0.27,OWN_PARITY,INTR_PARITY,2567.4,-14560.5,-299.5,-299.5,143.70,0.0,CLEAR,0,20000.5,20000.5,1.67,1.67,19701.0,19701.0,3.33,3.33
0.27,INTR_PARITY,OWN_PARITY,-2567.4,14560.5,299.5,299.5,143.70,0.0,CLEAR,0,19701.0,19701.0,3.33,3.33,20000.5,20000.5,1.67,1.67
0.30,OWN_PARITY,INTR_PARITY,2566.8,-14557.1,-299.4,-299.4,143.67,0.0,CLEAR,0,20000.6,20000.6,1.67,1.67,19701.1,19701.1,3.33,3.33
0.30,INTR_PARITY,OWN_PARITY,-2566.8,14557.1,299.4,299.4,143.67,0.0,CLEAR,0,19701.1,19701.1,3.33,3.33,20000.6,20000.6,1.67,1.67
0.33,OWN_PARITY,INTR_PARITY,2566.2,-14553.8,-299.4,-299.4,143.63,0.0,CLEAR,0,20000.6,20000.6,1.67,1.67,19701.2,19701.2,3.33,3.33
