time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7399.4,399.4,399.4,28.77,0.0,RA_DO_NOT_CLIMB,0,15000.0,15000.0,0.00,0.00,15399.4,15399.4,-16.67,-16.67
0.00,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7399.4,-399.4,-399.4,28.77,0.0,RA_DO_NOT_DESCEND,0,15399.4,15399.4,0.00,0.00,15000.0,15000.0,0.00,0.00
0.03,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7390.9,399.4,399.4,28.73,0.0,RA_DESCEND,0,15000.0,15000.0,-30.00,-30.00,15399.4,15399.4,0.00,0.00
0.03,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7390.9,-399.4,-399.4,28.73,0.0,RA_CLIMB,0,15399.4,15399.4,30.00,30.00,15000.0,15000.0,-30.00,-30.00
0.07,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7382.3,401.4,401.4,28.70,0.0,RA_DESCEND,0,14999.0,14999.0,-30.00,-30.00,15400.4,15400.4,30.00,30.00
0.07,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7382.3,-401.4,-401.4,28.70,0.0,RA_CLIMB,0,15400.4,15400.4,30.00,30.00,14999.0,14999.0,-30.00,-30.00
0.10,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7373.7,403.4,403.4,28.67,0.0,RA_DESCEND,0,14998.0,14998.0,-30.00,-30.00,15401.4,15401.4,30.00,30.00
0.10,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7373.7,-403.4,-403.4,28.67,0.0,RA_CLIMB,0,15401.4,15401.4,30.00,30.00,14998.0,14998.0,-30.00,-30.00
0.13,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7365.1,405.4,405.4,28.63,0.0,RA_DESCEND,0,14997.0,14997.0,-30.00,-30.00,15402.4,15402.4,30.00,30.00
0.13,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7365.1,-405.4,-405.4,28.63,0.0,RA_CLIMB,0,15402.4,15402.4,30.00,30.00,14997.0,14997.0,-30.00,-30.00
0.17,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7356.6,407.4,407.4,28.60,0.0,RA_DESCEND,0,14996.0,14996.0,-30.00,-30.00,15403.4,15403.4,30.00,30.00
0.17,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7356.6,-407.4,-407.4,28.60,0.0,RA_CLIMB,0,15403.4,15403.4,30.00,30.00,14996.0,14996.0,-30.00,-30.00
0.20,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7348.0,409.4,409.4,28.57,0.0,RA_DESCEND,0,14995.0,14995.0,-30.00,-30.00,15404.4,15404.4,30.00,30.00
0.20,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7348.0,-409.4,-409.4,28.57,0.0,RA_CLIMB,0,15404.4,15404.4,30.00,30.00,14995.0,14995.0,-30.00,-30.00
0.23,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7339.4,411.4,411.4,28.53,0.0,RA_DESCEND,0,14994.0,14994.0,-30.00,-30.00,15405.4,15405.4,30.00,30.00
0.23,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7339.4,-411.4,-411.4,28.53,0.0,RA_CLIMB,0,15405.4,15405.4,30.00,30.00,14994.0,14994.0,-30.00,-30.00
0.27,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7330.8,413.4,413.4,28.50,0.0,RA_DESCEND,0,14993.0,14993.0,-30.00,-30.00,15406.4,15406.4,30.00,30.00
0.27,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7330.8,-413.4,-413.4,28.50,0.0,RA_CLIMB,0,15406.4,15406.4,30.00,30.00,14993.0,14993.0,-30.00,-30.00
0.30,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7322.3,415.4,415.4,28.47,0.0,RA_DESCEND,0,14992.0,14992.0,-30.00,-30.00,15407.4,15407.4,30.00,30.00
0.30,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7322.3,-415.4,-415.4,28.47,0.0,RA_CLIMB,0,15407.4,15407.4,30.00,30.00,14992.0,14992.0,-30.00,-30.00
0.33,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7313.7,417.4,417.4,28.43,0.0,RA_DESCEND,0,14991.0,14991.0,-30.00,-30.00,15408.4,15408.4,30.00,30.00
0.33,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7313.7,-417.4,-417.4,28.43,0.0,RA_CLIMB,0,15408.4,15408.4,30.00,30.00,14991.0,14991.0,-30.00,-30.00
0.37,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7305.1,419.4,419.4,28.40,0.0,RA_DESCEND,0,14990.0,14990.0,-30.00,-30.00,15409.4,15409.4,30.00,30.00
0.37,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7305.1,-419.4,-419.4,28.40,0.0,RA_CLIMB,0,15409.4,15409.4,30.00,30.00,14990.0,14990.0,-30.00,-30.00
0.40,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7296.5,421.4,421.4,28.37,0.0,RA_DESCEND,0,14989.0,14989.0,-30.00,-30.00,15410.4,15410.4,30.00,30.00
0.40,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7296.5,-421.4,-421.4,28.37,0.0,RA_CLIMB,0,15410.4,15410.4,30.00,30.00,14989.0,14989.0,-30.00,-30.00
0.43,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7288.0,423.4,423.4,28.33,0.0,RA_DESCEND,0,14988.0,14988.0,-30.00,-30.00,15411.4,15411.4,30.00,30.00
0.43,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7288.0,-423.4,-423.4,28.33,0.0,RA_CLIMB,0,15411.4,15411.4,30.00,30.00,14988.0,14988.0,-30.00,-30.00
0.47,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7279.4,425.4,425.4,28.30,0.0,RA_DESCEND,0,14987.0,14987.0,-30.00,-30.00,15412.4,15412.4,30.00,30.00
0.47,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7279.4,-425.4,-425.4,28.30,0.0,RA_CLIMB,0,15412.4,15412.4,30.00,30.00,14987.0,14987.0,-30.00,-30.00
0.50,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7270.8,427.4,427.4,28.27,0.0,RA_DESCEND,0,14986.0,14986.0,-30.00,-30.00,15413.4,15413.4,30.00,30.00
0.50,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7270.8,-427.4,-427.4,28.27,0.0,RA_CLIMB,0,15413.4,15413.4,30.00,30.00,14986.0,14986.0,-30.00,-30.00
0.53,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7262.2,429.4,429.4,28.23,0.0,RA_DESCEND,0,14985.0,14985.0,-30.00,-30.00,15414.4,15414.4,30.00,30.00
0.53,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7262.2,-429.4,-429.4,28.23,0.0,RA_CLIMB,0,15414.4,15414.4,30.00,30.00,14985.0,14985.0,-30.00,-30.00
0.57,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7253.7,431.4,431.4,28.20,0.0,RA_DESCEND,0,14984.0,14984.0,-30.00,-30.00,15415.4,15415.4,30.00,30.00
0.57,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7253.7,-431.4,-431.4,28.20,0.0,RA_CLIMB,0,15415.4,15415.4,30.00,30.00,14984.0,14984.0,-30.00,-30.00
0.60,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7245.1,433.4,433.4,28.17,0.0,RA_DESCEND,0,14983.0,14983.0,-30.00,-30.00,15416.4,15416.4,30.00,30.00
0.60,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7245.1,-433.4,-433.4,28.17,0.0,RA_CLIMB,0,15416.4,15416.4,30.00,30.00,14983.0,14983.0,-30.00,-30.00
0.63,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7236.5,435.4,435.4,28.13,0.0,RA_DESCEND,0,14982.0,14982.0,-30.00,-30.00,15417.4,15417.4,30.00,30.00
0.63,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7236.5,-435.4,-435.4,28.13,0.0,RA_CLIMB,0,15417.4,15417.4,30.00,30.00,14982.0,14982.0,-30.00,-30.00
0.67,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7227.9,437.4,437.4,28.10,0.0,RA_DESCEND,0,14981.0,14981.0,-30.00,-30.00,15418.4,15418.4,30.00,30.00
0.67,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7227.9,-437.4,-437.4,28.10,0.0,RA_CLIMB,0,15418.4,15418.4,30.00,30.00,14981.0,14981.0,-30.00,-30.00
0.70,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7219.4,439.4,439.4,28.07,0.0,RA_DESCEND,0,14980.0,14980.0,-30.00,-30.00,15419.4,15419.4,30.00,30.00
0.70,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7219.4,-439.4,-439.4,28.07,0.0,RA_CLIMB,0,15419.4,15419.4,30.00,30.00,14980.0,14980.0,-30.00,-30.00
0.73,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7210.8,441.4,441.4,28.03,0.0,RA_DESCEND,0,14979.0,14979.0,-30.00,-30.00,15420.4,15420.4,30.00,30.00
0.73,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7210.8,-441.4,-441.4,28.03,0.0,RA_CLIMB,0,15420.4,15420.4,30.00,30.00,14979.0,14979.0,-30.00,-30.00
0.77,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7202.2,443.4,443.4,28.00,0.0,RA_DESCEND,0,14978.0,14978.0,-30.00,-30.00,15421.4,15421.4,30.00,30.00
0.77,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7202.2,-443.4,-443.4,28.00,0.0,RA_CLIMB,0,15421.4,15421.4,30.00,30.00,14978.0,14978.0,-30.00,-30.00
0.80,OWN_RA_STRENGTH,INTR_RA_STRENGTH,0.0,7193.6,445.4,445.4,27.97,0.0,RA_DESCEND,0,14977.0,14977.0,-30.00,-30.00,15422.4,15422.4,30.00,30.00
0.80,INTR_RA_STRENGTH,OWN_RA_STRENGTH,-0.0,-7193.6,-445.4,-445.4,27.97,0.0,RA_CLIMB,0,15422.4,15422.4,30.00,30.00,14977.0,14977.0,-30.00,-30.00
