time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_1,0.0,-18514.0,999.7,999.7,102.82,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.7,15999.7,-8.33,-8.33
0.00,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_2,0.0,18514.0,-999.7,-999.7,102.82,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,14000.3,14000.3,8.33,8.33
0.00,INTR_TWO_OPPOSITE_1,OWN_TWO_OPPOSITE,0.0,18514.0,-999.7,-999.7,102.82,0.0,CLEAR,0,15999.7,15999.7,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.00,INTR_TWO_OPPOSITE_1,INTR_TWO_OPPOSITE_2,0.0,37028.0,-1999.4,-1999.4,102.82,0.0,CLEAR,0,15999.7,15999.7,-8.33,-8.33,14000.3,14000.3,8.33,8.33
0.00,INTR_TWO_OPPOSITE_2,OWN_TWO_OPPOSITE,-0.0,-18514.0,999.7,999.7,102.82,0.0,CLEAR,0,14000.3,14000.3,8.33,8.33,15000.0,15000.0,0.00,0.00
0.00,INTR_TWO_OPPOSITE_2,INTR_TWO_OPPOSITE_1,-0.0,-37028.0,1999.4,1999.4,102.82,0.0,CLEAR,0,14000.3,14000.3,8.33,8.33,15999.7,15999.7,-8.33,-8.33
0.03,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_1,0.0,-18508.0,999.4,999.4,102.79,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.4,15999.4,-8.33,-8.33
0.03,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_2,0.0,18508.0,-999.4,-999.4,102.79,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,14000.6,14000.6,8.33,8.33
0.03,INTR_TWO_OPPOSITE_1,OWN_TWO_OPPOSITE,0.0,18508.0,-999.4,-999.4,102.79,0.0,CLEAR,0,15999.4,15999.4,-8.33,-8.33,15000.0,15000.0,0.00,0.00
0.03,INTR_TWO_OPPOSITE_1,INTR_TWO_OPPOSITE_2,0.0,37016.0,-1998.9,-1998.9,102.79,0.0,CLEAR,0,15999.4,15999.4,-8.33,-8.33,14000.6,14000.6,8.33,8.33
0.03,INTR_TWO_OPPOSITE_2,OWN_TWO_OPPOSITE,-0.0,-18508.0,999.4,999.4,102.79,0.0,CLEAR,0,14000.6,14000.6,8.33,8.33,15000.0,15000.0,0.00,0.00
0.03,INTR_TWO_OPPOSITE_2,INTR_TWO_OPPOSITE_1,-0.0,-37016.0,1998.9,1998.9,102.79,0.0,CLEAR,0,14000.6,14000.6,8.33,8.33,15999.4,15999.4,-8.33,-8.33
0.07,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_1,0.0,-18502.0,999.2,999.2,102.76,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,15999.2,15999.2,-8.33,-8.33
0.07,OWN_TWO_OPPOSITE,INTR_TWO_OPPOSITE_2,0.0,18502.0,-999.2,-999.2,102.76,0.0,CLEAR,0,15000.0,15000.0,0.00,0.00,14000.8,14000.8,8.33,8.33
