time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_CROSSING,INTR_CROSSING,-16660.8,0.0,1999.2,1999.2,77.11,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,11999.2,11999.2,-25.00,-25.00
0.00,INTR_CROSSING,OWN_CROSSING,16660.8,-0.0,-1999.2,-1999.2,77.11,0.0,CLEAR,0,11999.2,11999.2,-25.00,-25.00,10000.0,10000.0,0.00,0.00
0.03,OWN_CROSSING,INTR_CROSSING,-16653.6,0.0,1998.3,1998.3,77.08,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,11998.3,11998.3,-25.00,-25.00
0.03,INTR_CROSSING,OWN_CROSSING,16653.6,-0.0,-1998.3,-1998.3,77.08,0.0,CLEAR,0,11998.3,11998.3,-25.00,-25.00,10000.0,10000.0,0.00,0.00
0.07,OWN_CROSSING,INTR_CROSSING,-16646.4,0.0,1997.5,1997.5,77.04,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,11997.5,11997.5,-25.00,-25.00
0.07,INTR_CROSSING,OWN_CROSSING,16646.4,-0.0,-1997.5,-1997.5,77.04,0.0,CLEAR,0,11997.5,11997.5,-25.00,-25.00,10000.0,10000.0,0.00,0.00
0.10,OWN_CROSSING,INTR_CROSSING,-16639.2,0.0,1996.7,1996.7,77.01,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,11996.7,11996.7,-25.00,-25.00
0.10,INTR_CROSSING,OWN_CROSSING,16639.2,-0.0,-1996.7,-1996.7,77.01,0.0,CLEAR,0,11996.7,11996.7,-25.00,-25.00,10000.0,10000.0,0.00,0.00
0.13,OWN_CROSSING,INTR_CROSSING,-16632.0,0.0,1995.8,1995.8,76.98,0.0,CLEAR,0,10000.0,10000.0,0.00,0.00,11995.8,11995.8,-25.00,-25.00
0.13,INTR_CROSSING,OWN_CROSSING,16632.0,-0.0,-1995.8,-1995.8,76.98,0.0,CLEAR,0,11995.8,11995.8,-25.00,-25.00,10000.0,10000.0,0.00,0.00
