time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2571.9,-14585.8,-999.2,-999.2,95.97,0.0,CLEAR,0,17999.2,17999.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.00,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2571.9,14585.8,999.2,999.2,95.97,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17999.2,17999.2,-25.00,-25.00
0.03,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2571.0,-14580.8,-998.3,-998.3,95.93,0.0,CLEAR,0,17998.3,17998.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.03,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2571.0,14580.8,998.3,998.3,95.93,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17998.3,17998.3,-25.00,-25.00
0.07,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2570.1,-14575.7,-997.5,-997.5,95.90,0.0,CLEAR,0,17997.5,17997.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.07,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2570.1,14575.7,997.5,997.5,95.90,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17997.5,17997.5,-25.00,-25.00
0.10,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2569.2,-14570.6,-996.7,-996.7,95.87,0.0,CLEAR,0,17996.7,17996.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.10,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2569.2,14570.6,996.7,996.7,95.87,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17996.7,17996.7,-25.00,-25.00
0.13,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2568.3,-14565.6,-995.8,-995.8,95.83,0.0,CLEAR,0,17995.8,17995.8,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.13,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2568.3,14565.6,995.8,995.8,95.83,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17995.8,17995.8,-25.00,-25.00
0.17,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2567.4,-14560.5,-995.0,-995.0,95.80,0.0,CLEAR,0,17995.0,17995.0,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.17,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2567.4,14560.5,995.0,995.0,95.80,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17995.0,17995.0,-25.00,-25.00
0.20,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2566.5,-14555.4,-994.2,-994.2,95.77,0.0,CLEAR,0,17994.2,17994.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.20,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2566.5,14555.4,994.2,994.2,95.77,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17994.2,17994.2,-25.00,-25.00
0.23,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2565.6,-14550.4,-993.3,-993.3,95.73,0.0,CLEAR,0,17993.3,17993.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.23,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2565.6,14550.4,993.3,993.3,95.73,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17993.3,17993.3,-25.00,-25.00
0.27,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2564.7,-14545.3,-992.5,-992.5,95.70,0.0,CLEAR,0,17992.5,17992.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.27,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2564.7,14545.3,992.5,992.5,95.70,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17992.5,17992.5,-25.00,-25.00
0.30,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2563.8,-14540.2,-991.7,-991.7,95.67,0.0,CLEAR,0,17991.7,17991.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.30,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2563.8,14540.2,991.7,991.7,95.67,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17991.7,17991.7,-25.00,-25.00
0.33,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2562.9,-14535.2,-990.8,-990.8,95.63,0.0,CLEAR,0,17990.8,17990.8,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.33,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2562.9,14535.2,990.8,990.8,95.63,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17990.8,17990.8,-25.00,-25.00
0.37,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2562.1,-14530.1,-990.0,-990.0,95.60,0.0,CLEAR,0,17990.0,17990.0,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.37,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2562.1,14530.1,990.0,990.0,95.60,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17990.0,17990.0,-25.00,-25.00
0.40,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2561.2,-14525.0,-989.2,-989.2,95.57,0.0,CLEAR,0,17989.2,17989.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.40,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2561.2,14525.0,989.2,989.2,95.57,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17989.2,17989.2,-25.00,-25.00
0.43,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2560.3,-14520.0,-988.3,-988.3,95.53,0.0,CLEAR,0,17988.3,17988.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.43,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2560.3,14520.0,988.3,988.3,95.53,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17988.3,17988.3,-25.00,-25.00
0.47,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2559.4,-14514.9,-987.5,-987.5,95.50,0.0,CLEAR,0,17987.5,17987.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.47,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2559.4,14514.9,987.5,987.5,95.50,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17987.5,17987.5,-25.00,-25.00
0.50,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2558.5,-14509.9,-986.7,-986.7,95.47,0.0,CLEAR,0,17986.7,17986.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.50,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2558.5,14509.9,986.7,986.7,95.47,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17986.7,17986.7,-25.00,-25.00
0.53,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2557.6,-14504.8,-985.8,-985.8,95.43,0.0,CLEAR,0,17985.8,17985.8,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.53,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2557.6,14504.8,985.8,985.8,95.43,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17985.8,17985.8,-25.00,-25.00
0.57,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2556.7,-14499.7,-985.0,-985.0,95.40,0.0,CLEAR,0,17985.0,17985.0,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.57,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2556.7,14499.7,985.0,985.0,95.40,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17985.0,17985.0,-25.00,-25.00
0.60,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2555.8,-14494.7,-984.2,-984.2,95.37,0.0,CLEAR,0,17984.2,17984.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.60,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2555.8,14494.7,984.2,984.2,95.37,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17984.2,17984.2,-25.00,-25.00
0.63,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2554.9,-14489.6,-983.3,-983.3,95.33,0.0,CLEAR,0,17983.3,17983.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.63,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2554.9,14489.6,983.3,983.3,95.33,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17983.3,17983.3,-25.00,-25.00
0.67,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2554.0,-14484.5,-982.5,-982.5,95.30,0.0,CLEAR,0,17982.5,17982.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.67,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2554.0,14484.5,982.5,982.5,95.30,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17982.5,17982.5,-25.00,-25.00
0.70,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2553.1,-14479.5,-981.7,-981.7,95.27,0.0,CLEAR,0,17981.7,17981.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.70,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2553.1,14479.5,981.7,981.7,95.27,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17981.7,17981.7,-25.00,-25.00
0.73,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2552.2,-14474.4,-980.8,-980.8,95.23,0.0,CLEAR,0,17980.8,17980.8,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.73,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2552.2,14474.4,980.8,980.8,95.23,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17980.8,17980.8,-25.00,-25.00
0.77,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2551.3,-14469.3,-980.0,-980.0,95.20,0.0,CLEAR,0,17980.0,17980.0,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.77,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2551.3,14469.3,980.0,980.0,95.20,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17980.0,17980.0,-25.00,-25.00
0.80,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2550.4,-14464.3,-979.2,-979.2,95.17,0.0,CLEAR,0,17979.2,17979.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.80,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2550.4,14464.3,979.2,979.2,95.17,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17979.2,17979.2,-25.00,-25.00
0.83,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2549.5,-14459.2,-978.3,-978.3,95.13,0.0,CLEAR,0,17978.3,17978.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.83,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2549.5,14459.2,978.3,978.3,95.13,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17978.3,17978.3,-25.00,-25.00
0.87,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2548.7,-14454.1,-977.5,-977.5,95.10,0.0,CLEAR,0,17977.5,17977.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.87,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2548.7,14454.1,977.5,977.5,95.10,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17977.5,17977.5,-25.00,-25.00
0.90,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2547.8,-14449.1,-976.7,-976.7,95.07,0.0,CLEAR,0,17976.7,17976.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.90,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2547.8,14449.1,976.7,976.7,95.07,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17976.7,17976.7,-25.00,-25.00
0.93,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2546.9,-14444.0,-975.8,-975.8,95.03,0.0,CLEAR,0,17975.8,17975.8,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.93,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2546.9,14444.0,975.8,975.8,95.03,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17975.8,17975.8,-25.00,-25.00
0.97,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2546.0,-14438.9,-975.0,-975.0,95.00,0.0,CLEAR,0,17975.0,17975.0,-25.00,-25.00,17000.0,17000.0,0.00,0.00
0.97,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2546.0,14438.9,975.0,975.0,95.00,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17975.0,17975.0,-25.00,-25.00
1.00,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2545.1,-14433.9,-974.2,-974.2,94.97,0.0,CLEAR,0,17974.2,17974.2,-25.00,-25.00,17000.0,17000.0,0.00,0.00
1.00,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2545.1,14433.9,974.2,974.2,94.97,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17974.2,17974.2,-25.00,-25.00
1.03,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2544.2,-14428.8,-973.3,-973.3,94.93,0.0,CLEAR,0,17973.3,17973.3,-25.00,-25.00,17000.0,17000.0,0.00,0.00
1.03,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2544.2,14428.8,973.3,973.3,94.93,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17973.3,17973.3,-25.00,-25.00
1.07,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2543.3,-14423.7,-972.5,-972.5,94.90,0.0,CLEAR,0,17972.5,17972.5,-25.00,-25.00,17000.0,17000.0,0.00,0.00
1.07,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2543.3,14423.7,972.5,972.5,94.90,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17972.5,17972.5,-25.00,-25.00
1.10,OWN_DESCEND_LEVEL_INTR,INTR_DESCEND_LEVEL_INTR,2542.4,-14418.7,-971.7,-971.7,94.87,0.0,CLEAR,0,17971.7,17971.7,-25.00,-25.00,17000.0,17000.0,0.00,0.00
1.10,INTR_DESCEND_LEVEL_INTR,OWN_DESCEND_LEVEL_INTR,-2542.4,14418.7,971.7,971.7,94.87,0.0,CLEAR,0,17000.0,17000.0,0.00,0.00,17971.7,17971.7,-25.00,-25.00
