time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_HIVERT,INTR_HIVERT,2420.5,-27666.6,9996.7,9996.7,119.97,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,29996.7,29996.7,-100.00,-100.00
0.00,INTR_HIVERT,OWN_HIVERT,-2420.5,27666.6,-9996.7,-9996.7,119.97,0.0,CLEAR,0,29996.7,29996.7,-100.00,-100.00,20000.0,20000.0,0.00,0.00
0.03,OWN_HIVERT,INTR_HIVERT,2419.8,-27658.9,9993.3,9993.3,119.93,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,29993.3,29993.3,-100.00,-100.00
0.03,INTR_HIVERT,OWN_HIVERT,-2419.8,27658.9,-9993.3,-9993.3,119.93,0.0,CLEAR,0,29993.3,29993.3,-100.00,-100.00,20000.0,20000.0,0.00,0.00
0.07,OWN_HIVERT,INTR_HIVERT,2419.2,-27651.2,9990.0,9990.0,119.90,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,29990.0,29990.0,-100.00,-100.00
0.07,INTR_HIVERT,OWN_HIVERT,-2419.2,27651.2,-9990.0,-9990.0,119.90,0.0,CLEAR,0,29990.0,29990.0,-100.00,-100.00,20000.0,20000.0,0.00,0.00
0.10,OWN_HIVERT,INTR_HIVERT,2418.5,-27643.5,9986.7,9986.7,119.87,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,29986.7,29986.7,-100.00,-100.00
0.10,INTR_HIVERT,OWN_HIVERT,-2418.5,27643.5,-9986.7,-9986.7,119.87,0.0,CLEAR,0,29986.7,29986.7,-100.00,-100.00,20000.0,20000.0,0.00,0.00
0.13,OWN_HIVERT,INTR_HIVERT,2417.8,-27635.9,9983.3,9983.3,119.83,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,29983.3,29983.3,-100.00,-100.00
0.13,INTR_HIVERT,OWN_HIVERT,-2417.8,27635.9,-9983.3,-9983.3,119.83,0.0,CLEAR,0,29983.3,29983.3,-100.00,-100.00,20000.0,20000.0,0.00,0.00
