time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,-1476.5,100.0,100.0,9.57,0.0,RA_CROSSING_DESCEND,0,10000.0,10000.0,-30.00,-30.00,10100.0,10100.0,0.00,0.00
0.00,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,0.0,1476.5,-100.0,-100.0,9.57,0.0,RA_CROSSING_CLIMB,0,10100.0,10100.0,30.00,30.00,10000.0,10000.0,-30.00,-30.00
0.03,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,-1471.3,102.0,102.0,9.53,0.0,RA_INCREASE_DESCEND,0,9999.0,9999.0,-41.67,-41.67,10101.0,10101.0,30.00,30.00
0.03,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,0.0,1471.3,-102.0,-102.0,9.53,0.0,RA_INCREASE_CLIMB,0,10101.0,10101.0,41.67,41.67,9999.0,9999.0,-41.67,-41.67
0.07,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,-1466.2,104.8,104.8,9.50,0.0,RA_INCREASE_DESCEND,0,9997.6,9997.6,-41.67,-41.67,10102.4,10102.4,41.67,41.67
0.07,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,0.0,1466.2,-104.8,-104.8,9.50,0.0,RA_INCREASE_CLIMB,0,10102.4,10102.4,41.67,41.67,9997.6,9997.6,-41.67,-41.67
0.10,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,-1461.0,107.6,107.6,9.47,0.0,RA_INCREASE_DESCEND,0,9996.2,9996.2,-41.67,-41.67,10103.8,10103.8,41.67,41.67
0.10,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,0.0,1461.0,-107.6,-107.6,9.47,0.0,RA_INCREASE_CLIMB,0,10103.8,10103.8,41.67,41.67,9996.2,9996.2,-41.67,-41.67
0.13,OWN_IMMEDIATE_RA,INTR_IMMEDIATE_RA,0.0,-1455.9,110.3,110.3,9.43,0.0,RA_INCREASE_DESCEND,0,9994.8,9994.8,-41.67,-41.67,10105.2,10105.2,41.67,41.67
0.13,INTR_IMMEDIATE_RA,OWN_IMMEDIATE_RA,0.0,1455.9,-110.3,-110.3,9.43,0.0,RA_INCREASE_CLIMB,0,10105.2,10105.2,41.67,41.67,9994.8,9994.8,-41.67,-41.67
