time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_LOWALT,INTR_LOWALT,0.0,9255.7,100.0,100.0,71.97,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.00,INTR_LOWALT,OWN_LOWALT,-0.0,-9255.7,-100.0,-100.0,71.97,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.03,OWN_LOWALT,INTR_LOWALT,0.0,9251.4,100.0,100.0,71.93,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.03,INTR_LOWALT,OWN_LOWALT,-0.0,-9251.4,-100.0,-100.0,71.93,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.07,OWN_LOWALT,INTR_LOWALT,0.0,9247.1,100.0,100.0,71.90,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.07,INTR_LOWALT,OWN_LOWALT,-0.0,-9247.1,-100.0,-100.0,71.90,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.10,OWN_LOWALT,INTR_LOWALT,0.0,9242.9,100.0,100.0,71.87,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.10,INTR_LOWALT,OWN_LOWALT,-0.0,-9242.9,-100.0,-100.0,71.87,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.13,OWN_LOWALT,INTR_LOWALT,0.0,9238.6,100.0,100.0,71.83,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.13,INTR_LOWALT,OWN_LOWALT,-0.0,-9238.6,-100.0,-100.0,71.83,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.17,OWN_LOWALT,INTR_LOWALT,0.0,9234.3,100.0,100.0,71.80,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
0.17,INTR_LOWALT,OWN_LOWALT,-0.0,-9234.3,-100.0,-100.0,71.80,0.0,CLEAR,0,900.0,900.0,0.00,0.00,800.0,800.0,0.00,0.00
0.20,OWN_LOWALT,INTR_LOWALT,0.0,9230.0,100.0,100.0,71.77,0.0,CLEAR,0,800.0,800.0,0.00,0.00,900.0,900.0,0.00,0.00
