time_s,own_id,intr_id,rel_x_m,rel_y_m,rel_alt_sensed_ft,rel_alt_true_ft,tau_s,d_cpa_m,advisory,is_nmac,own_alt_sensed_ft,own_alt_true_ft,own_climb_sensed_fps,own_climb_true_fps,intr_alt_sensed_ft,intr_alt_true_ft,intr_climb_sensed_fps,intr_climb_true_fps
0.00,OWN_PARALLEL,INTR_PARALLEL,-5065.6,13917.7,200.0,200.0,95.97,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.00,INTR_PARALLEL,OWN_PARALLEL,5065.6,-13917.7,-200.0,-200.0,95.97,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.03,OWN_PARALLEL,INTR_PARALLEL,-5063.9,13912.8,200.0,200.0,95.93,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.03,INTR_PARALLEL,OWN_PARALLEL,5063.9,-13912.8,-200.0,-200.0,95.93,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.07,OWN_PARALLEL,INTR_PARALLEL,-5062.1,13908.0,200.0,200.0,95.90,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.07,INTR_PARALLEL,OWN_PARALLEL,5062.1,-13908.0,-200.0,-200.0,95.90,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.10,OWN_PARALLEL,INTR_PARALLEL,-5060.3,13903.1,200.0,200.0,95.87,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.10,INTR_PARALLEL,OWN_PARALLEL,5060.3,-13903.1,-200.0,-200.0,95.87,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.13,OWN_PARALLEL,INTR_PARALLEL,-5058.6,13898.3,200.0,200.0,95.83,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.13,INTR_PARALLEL,OWN_PARALLEL,5058.6,-13898.3,-200.0,-200.0,95.83,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.17,OWN_PARALLEL,INTR_PARALLEL,-5056.8,13893.5,200.0,200.0,95.80,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.17,INTR_PARALLEL,OWN_PARALLEL,5056.8,-13893.5,-200.0,-200.0,95.80,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.20,OWN_PARALLEL,INTR_PARALLEL,-5055.1,13888.6,200.0,200.0,95.77,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.20,INTR_PARALLEL,OWN_PARALLEL,5055.1,-13888.6,-200.0,-200.0,95.77,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.23,OWN_PARALLEL,INTR_PARALLEL,-5053.3,13883.8,200.0,200.0,95.73,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.23,INTR_PARALLEL,OWN_PARALLEL,5053.3,-13883.8,-200.0,-200.0,95.73,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.27,OWN_PARALLEL,INTR_PARALLEL,-5051.5,13879.0,200.0,200.0,95.70,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.27,INTR_PARALLEL,OWN_PARALLEL,5051.5,-13879.0,-200.0,-200.0,95.70,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.30,OWN_PARALLEL,INTR_PARALLEL,-5049.8,13874.1,200.0,200.0,95.67,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.30,INTR_PARALLEL,OWN_PARALLEL,5049.8,-13874.1,-200.0,-200.0,95.67,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.33,OWN_PARALLEL,INTR_PARALLEL,-5048.0,13869.3,200.0,200.0,95.63,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
0.33,INTR_PARALLEL,OWN_PARALLEL,5048.0,-13869.3,-200.0,-200.0,95.63,0.0,CLEAR,0,20200.0,20200.0,0.00,0.00,20000.0,20000.0,0.00,0.00
0.37,OWN_PARALLEL,INTR_PARALLEL,-5046.3,13864.5,200.0,200.0,95.60,0.0,CLEAR,0,20000.0,20000.0,0.00,0.00,20200.0,20200.0,0.00,0.00
